Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Roets F., Curran H.R., Dreyer L.L.",Morphological and reproductive consequences of an anther smut fungus on Oxalis,2012,Sydowia,64,2,,267,280,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873619545&partnerID=40&md5=414a984a9b4829b9b4537de7cb094d8a,"Department of Conservation Ecology and Entomology, Stellenbosch University, Stellenbosch, 7600, South Africa; Department of Botany and Zoology, Stellenbosch University, Stellenbosch, 7600, South Africa","Roets, F., Department of Conservation Ecology and Entomology, Stellenbosch University, Stellenbosch, 7600, South Africa; Curran, H.R., Department of Botany and Zoology, Stellenbosch University, Stellenbosch, 7600, South Africa; Dreyer, L.L., Department of Botany and Zoology, Stellenbosch University, Stellenbosch, 7600, South Africa","Thecaphora capensis, an anther smut fungus from the Greater Cape Floristic Region (GCFR) of South Africa infects a number of Oxalis, the largest geophytic genus in this area. Diseased individuals produce fungal spores instead of pollen in their anthers, which allows for pollinator-mediated transmission of spores. We build on existing meagre knowledge of this plant-pathogen system by elucidating the known host range of T. capensis and by assessing its effect on host morphology and reproduction. Three new hosts were identified, bringing the total number of known host species to twelve. Infection of O. incarnata, O. lanata and O. nidulans generally has negative effects on all morphological traits assessed. However, the magnitude of effect on various characters varied between populations and hosts. Fungal spore presence on stigmatic surfaces of healthy O. incarnata and O. lanata did not compromise seed set. However, diseased individuals were usually sterile, indicating that T. capensis has major population-level impacts. Determining the full host range and consequences of infection are essential, as it will allow for comparisons with similar systems to formulate and test general hypotheses of vector-borne disease dynamics.",Greater cape floristic region; Microbotryum violaceum s. L; Spore-transmission; Thecaphora capensis,Article,,Scopus,2-s2.0-84873619545
"Tyteca D., Ceinos M., Gathoye J.-L., Brys R., Jacquemyn H.","On the morphological, biological and genetic heterogeneity of the genus Orchis (Orchidaceae, Orchidinae)",2012,Phytotaxa,75,,,19,32,,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871478247&partnerID=40&md5=cc8a346fc7549201610eb321b1692b81,"Biodiversity Research Centre, Earth and Life Institute, Université catholique de Louvain, B-1348 Louvain-la-Neuve, Belgium; Département de sl'Etude du Milieu naturel et agricole, Service Public de Wallonie, B-5030 Gembloux, Belgium; Research Institute for Nature and Forest, B-1070 Brussels, Belgium; Laboratory of Plant Ecology, Department of Biology, KULeuven, B-3001 Leuven, Belgium","Tyteca, D., Biodiversity Research Centre, Earth and Life Institute, Université catholique de Louvain, B-1348 Louvain-la-Neuve, Belgium; Ceinos, M., Biodiversity Research Centre, Earth and Life Institute, Université catholique de Louvain, B-1348 Louvain-la-Neuve, Belgium; Gathoye, J.-L., Département de sl'Etude du Milieu naturel et agricole, Service Public de Wallonie, B-5030 Gembloux, Belgium; Brys, R., Research Institute for Nature and Forest, B-1070 Brussels, Belgium; Jacquemyn, H., Laboratory of Plant Ecology, Department of Biology, KULeuven, B-3001 Leuven, Belgium","Circumscription of Orchis (Orchidaceae, Orchidinae) has undergone many changes in the last few decades. However, delimitation of the genus is still subject to debate. In its present state, Orchis s.str. appears to be composed of two welldifferentiated, monophyletic groups of species, now treated as subgenera (Orchis s.s. and Masculae). Here we present detailed morphological measurements of floral and vegetative traits collected for a large number of species of the two subgenera and the related genus Anacamptis to provide further insights in the taxonomy of this genus. Using multivariate analyses, we show that three groups of species are clearly separated morphologically and that this separation is more pronounced between the two subgenera than between Masculae and Anacamptis. This morphological variation is also supported by significant differences in seed micromorphology of the two subgenera. Review of the literature further provided significant differences in pollinator assemblages between the two subgenera, suggesting substantial pre-zygotic reproductive isolation, and a significant difference in diversity of fungal associates with species of the two subgenera, possibly contributing to post-zygotic reproductive isolation. The fact that no viable hybrid between the two subgenera has ever been observed under artificial or natural conditions is in line with these findings. Based on these findings, an appropriate taxonomic rank for the two groups is discussed. © 2012 Magnolia Press.",Generic delimitation; Masculae; Morphometrics; Orchid phylogenetics; Reproductive isolation,Article,,Scopus,2-s2.0-84871478247
"Francisco-Ortega J., Santos-Guerra A., Mosely J.L., Korber N., Swan M.",David Fairchild expeditions to the Canary Islands: Plant collections and research outcomes,2012,Brittonia,64,4,,421,437,,3,10.1007/s12228-012-9257-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871475856&doi=10.1007%2fs12228-012-9257-x&partnerID=40&md5=c53e09ad7e1ce351f8504be7d15b4d74,"Department of Biological Sciences, Florida International University, Miami, FL, 33199, United States; Center for Tropical Plant Conservation, Fairchild Tropical Botanic Garden, 11935 Old Cutler Road, Coral Gables, Miami, FL, 33156, United States; Unidad de Botánica Aplicada, ICIA, Calle Retama 2, Puerto de la Cruz, Tenerife, Canary Islands, E-38040, Spain; 8009 Windsor Way, Elon, NC, 27244, United States","Francisco-Ortega, J., Department of Biological Sciences, Florida International University, Miami, FL, 33199, United States, Center for Tropical Plant Conservation, Fairchild Tropical Botanic Garden, 11935 Old Cutler Road, Coral Gables, Miami, FL, 33156, United States; Santos-Guerra, A., Unidad de Botánica Aplicada, ICIA, Calle Retama 2, Puerto de la Cruz, Tenerife, Canary Islands, E-38040, Spain; Mosely, J.L., Center for Tropical Plant Conservation, Fairchild Tropical Botanic Garden, 11935 Old Cutler Road, Coral Gables, Miami, FL, 33156, United States, 8009 Windsor Way, Elon, NC, 27244, United States; Korber, N., Center for Tropical Plant Conservation, Fairchild Tropical Botanic Garden, 11935 Old Cutler Road, Coral Gables, Miami, FL, 33156, United States; Swan, M., Center for Tropical Plant Conservation, Fairchild Tropical Botanic Garden, 11935 Old Cutler Road, Coral Gables, Miami, FL, 33156, United States","Dr. David Fairchild (1869-1954) made four field trips to the Canary Islands. They took place in 1903 (supported by Barbour Lathrop) and in 1925, 1926, and 1927 (supported by Allison V. Armour). They represented the first extensive plant exploration expeditions ever undertaken by United States botanists targeting this archipelago. At least two of the trips were joined by other biologists from several disciplines. Four of the seven Canary Islands (Gran Canaria, Lanzarote, La Palma, and Tenerife) were visited. The four expeditions yielded eight publications, over 315 photographs, and 89 germplasm accessions (73 species). Two of these publications focused on invertebrates, one on plant mosaic viruses, and two on the pollination biology and propagation of Ficus auriculata (Moraceae). The remaining three works provided accounts on the natural history and plants of the islands and on the cropping systems and the rural life of the archipelago. © 2012 The New York Botanical Garden.",archives; Botanical history; Macaronesia; oceanic islands; plant exploration; USDA,Article,,Scopus,2-s2.0-84871475856
"Krug C., Silva C.I., Alves-Dos-Santos I.",Interaction between bees and the tristylous flowers of oxalis cytisoides Mart. & Zucc. (Oxalidaceae),2012,Psyche (New York),,,459683,,,,2,10.1155/2012/459683,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871395918&doi=10.1155%2f2012%2f459683&partnerID=40&md5=aa51d2529dfbc5c773ac495ea5f0ac7f,"Centro de Pesquisa Agroflorestal da Amazônia Ocidental, Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA), Rodovia AM-10 Km 29, Zona Rural, P.O. Box 319, 69010-970 Manaus, AM, Brazil; Departamento de Biologia, Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP/USP), Avendia Bandeirantes 3900, 14040-901 Ribeirão Preto, SP, Brazil; Departamento de Ecologia, Instituto de Biociências da Universidade de São Paulo (IBUSP), Cidade Universitária, 05508-900 São Paulo, SP, Brazil","Krug, C., Centro de Pesquisa Agroflorestal da Amazônia Ocidental, Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA), Rodovia AM-10 Km 29, Zona Rural, P.O. Box 319, 69010-970 Manaus, AM, Brazil; Silva, C.I., Departamento de Biologia, Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP/USP), Avendia Bandeirantes 3900, 14040-901 Ribeirão Preto, SP, Brazil; Alves-Dos-Santos, I., Departamento de Ecologia, Instituto de Biociências da Universidade de São Paulo (IBUSP), Cidade Universitária, 05508-900 São Paulo, SP, Brazil","The interaction of bees with the tristylous flowers of Oxalis cytisoides Mart. & Zucc. (Oxalidaceae) was evaluated. The study was conducted in a semideciduous forest at the Fritz Plaumann State Park in Concórdia, Santa Catarina state. Two Oxalis cytisoides aggregations were found and the flower visiting bees were observed. The 3 floral morphs were found at the following proportions: 16 long-, 37 mid-, and 34 shortstyled individuals (n = 87). Anthesis lasted one day (6:30 AM to 3 PM). No fruit was formed in the autogamy test; thus, pollination was dependent on the visitors. The pollen grain size varied between the stamens and morphs and formed subsets in accordance with the stigma height (long/mid/short). We collected 165 bees from 30 species visiting the flowers. Hypanthium divaricatum was the most abundant bee species (34%) and the males were often observed patrolling the flowers in search of females for mating. Analysis of the pollen loads from 34 females showed that 27 carried O. cytisoides pollen. The most frequent bees that carried O. cytisoides pollen grains on their bodies were considered pollinator agents, responsible for transferring pollen grains among the floral morphs. © 2012 Cristiane Krug et al.",,Article,Open Access,Scopus,2-s2.0-84871395918
"Nikzad S., Arefi S., Farsi M., Nikzad M., Nikzad M.",Studying the effects of artificial pollination and cycocel hormone on germination traits of Hamedani Alfalfa Seed,2012,Life Science Journal,9,4,,5911,5913,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877073636&partnerID=40&md5=d985211a564cec21e8c6052222cccbab,"Young Research Club, Borujerd Branch, Islamic Azad University, Borujerd, Iran; Department of Agriculture, Borujerd Branch, Islamic Azad University, Borujerd, Iran","Nikzad, S., Young Research Club, Borujerd Branch, Islamic Azad University, Borujerd, Iran; Arefi, S., Young Research Club, Borujerd Branch, Islamic Azad University, Borujerd, Iran; Farsi, M., Department of Agriculture, Borujerd Branch, Islamic Azad University, Borujerd, Iran; Nikzad, M., Department of Agriculture, Borujerd Branch, Islamic Azad University, Borujerd, Iran; Nikzad, M., Department of Agriculture, Borujerd Branch, Islamic Azad University, Borujerd, Iran","In order to investigate the effects of various concentrations of ccc and artificial pollination on the components and behavior of Alfalfa seeds, an experiment of splitting plots with completely randomized blocks and three replications was performed in two-purpose fields (seed-forage) of Boroujerd' s research agricultural station. Basic treatment includes artificial pollination through stretching the rope in two stages at 70% levels of pollination which was replicated in 100% pollination stage as compared to control treatment and the second treatment involves different concentrations of Cycocel Hormone (0, 1.6, 3.2, 6.4 liter/ha). The results obtained by analysis of variance indicated that the effects of artificial pollination on the bush length are significant at 5% level in the hormone treatment and considering the number of seeds at artificial pollination and hormone levels, they were significant at the levels of 5 and 1 percents, respectively. In this study, the minimum rate of length and maximum number of seeds were demonstrated by the levels of 6.4 liter and 70%+100%.",Alfalfa seed; Artificial pollination; Ccc (cycocel),Article,,Scopus,2-s2.0-84877073636
"Nikzad S., Nakhjavan S., Farsi M., Nikzad M., Nikzad M.",The effect of artificial pollination and different dosages of cycocel on yield components and seed yield in hamedanian alfalfa,2012,Life Science Journal,9,4,,4373,4375,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877010809&partnerID=40&md5=43d60fa8583be01ab0f830c978fe61ec,"Young Research Club, Borujerd Branch, Islamic Azad University, Borujerd, Iran; Department of Agriculture, Borujerd Branch, Islamic Azad University, Borujerd, Iran","Nikzad, S., Young Research Club, Borujerd Branch, Islamic Azad University, Borujerd, Iran; Nakhjavan, S., Department of Agriculture, Borujerd Branch, Islamic Azad University, Borujerd, Iran; Farsi, M., Department of Agriculture, Borujerd Branch, Islamic Azad University, Borujerd, Iran; Nikzad, M., Department of Agriculture, Borujerd Branch, Islamic Azad University, Borujerd, Iran; Nikzad, M., Department of Agriculture, Borujerd Branch, Islamic Azad University, Borujerd, Iran","In order to study effect of difference dosages of Cycocel (CCC) and artificial pollination in yield Components and Seed yield in Hamedanian alfalfa in both purposes (forage-seed)an experiment in Agricultural Research Station of Borujerd under 2011-2012 years using split plot design by Randomized Complete Block Design (RCBD) with three replications was carried out. In this experiment main treatments including Artificial pollination with Pulling rope under two stages with 70% levels pollination that this treatment in 100% pollination was repeated and 100% pollination and without artificial pollination was performed and sub treatments including difference dosages of cycocel hormones including levels (0- 1.6-3.2 -6.4) liter per hectare were performed. The results of analyses of variance were showed that artificial pollination effect in seed yield in 1% level probability and number of pods per plant, number of seed per pods and harvest index in 5% lever were significant. Also effect of hormone and interaction effect them with artificial pollination per seed yield and harvest index in 1% probability level and number of seed per pods in 5% probability lever were significant but number of pod per plant non significant. In this study the highest of seed yield in artificial pollination treatment in 100% + 70% levels and 3.2liter per hectare were found.",Alfalfa seed; Artificial pollination; Cycocel (CCC),Article,,Scopus,2-s2.0-84877010809
"Roemer R.B., Booth D., Bhavsar A.A., Walter G.H., Terry L.I.",Mathematical model of cycad cones' thermogenic temperature responses: Inverse calorimetry to estimate metabolic heating rates,2012,Journal of Theoretical Biology,315,,,87,96,,3,10.1016/j.jtbi.2012.09.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866786264&doi=10.1016%2fj.jtbi.2012.09.003&partnerID=40&md5=112534f70b77ec2a721067fc4bc9ec25,"University of Utah, Department of Mechanical Engineering, Merrill Engineering Building, Salt Lake City, UT 84112, United States; The University of Queensland, School of Biological Sciences, Brisbane, QLD 4072, Australia; University of Utah, Department of Biology, South Biology Building, Salt Lake City, UT 84112, United States","Roemer, R.B., University of Utah, Department of Mechanical Engineering, Merrill Engineering Building, Salt Lake City, UT 84112, United States; Booth, D., The University of Queensland, School of Biological Sciences, Brisbane, QLD 4072, Australia; Bhavsar, A.A., University of Utah, Department of Mechanical Engineering, Merrill Engineering Building, Salt Lake City, UT 84112, United States; Walter, G.H., The University of Queensland, School of Biological Sciences, Brisbane, QLD 4072, Australia; Terry, L.I., University of Utah, Department of Biology, South Biology Building, Salt Lake City, UT 84112, United States","A mathematical model based on conservation of energy has been developed and used to simulate the temperature responses of cones of the Australian cycads Macrozamia lucida and Macrozamia. macleayi during their daily thermogenic cycle. These cones generate diel midday thermogenic temperature increases as large as 12. °C above ambient during their approximately two week pollination period. The cone temperature response model is shown to accurately predict the cones' temperatures over multiple days as based on simulations of experimental results from 28 thermogenic events from 3 different cones, each simulated for either 9 or 10 sequential days.The verified model is then used as the foundation of a new, parameter estimation based technique (termed inverse calorimetry) that estimates the cones' daily metabolic heating rates from temperature measurements alone. The inverse calorimetry technique's predictions of the major features of the cones' thermogenic metabolism compare favorably with the estimates from conventional respirometry (indirect calorimetry). Because the new technique uses only temperature measurements, and does not require measurements of oxygen consumption, it provides a simple, inexpensive and portable complement to conventional respirometry for estimating metabolic heating rates. It thus provides an additional tool to facilitate field and laboratory investigations of the bio-physics of thermogenic plants. © 2012 Elsevier Ltd.",Cycads; Metabolism; Respirometry; Simulations; Thermogenesis,Article,,Scopus,2-s2.0-84866786264
"Jin B., Tang L., Lu Y., Wang D., Zhang M., Ma J.",Temporal and spatial characteristics of male cone development in Metasequoia glyptostroboides Hu et Cheng,2012,Plant Signaling and Behavior,7,12,,,,,,10.4161/psb.22898,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871229248&doi=10.4161%2fpsb.22898&partnerID=40&md5=fd72f88a8b2d2362960f2daf07f57f83,"College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, Jiangsu, China; School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, Shanghai, China; The Arnold Arboretum, Harvard University, Boston, MA, United States","Jin, B., College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, Jiangsu, China, The Arnold Arboretum, Harvard University, Boston, MA, United States; Tang, L., College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, Jiangsu, China; Lu, Y., School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, Shanghai, China; Wang, D., College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, Jiangsu, China; Zhang, M., College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, Jiangsu, China; Ma, J., College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, Jiangsu, China","Metasequoia glyptostroboides, a famous relic species of conifer that survived in China, has been successfully planted in large numbers across the world. However, limited information on male cone development in the species is available. In this study, we observed the morphological and anatomical changes that occur during male cone development in M. glyptostroboides using semi-thin sections and scanning electron microscopy. The male cones were borne oppositely on one-year-old twigs that were mainly located around the outer and sunlit parts of crown. Male cones were initiated from early September and shed pollen in the following February. Each cone consisted of spirally arranged microsporophylls subtended by decussate sterile scales, and each microsporophyll commonly consisted of three microsporangia and a phylloclade. The microsporangial wall was composed of an epidermis, endothecium and tapetum. In mid-February, the endothecium and tapetum layers disintegrated, and in the epidermal layer the cell walls were thickened with inner protrusions. Subsequently, dehiscence of the microsporangia occurred through rupturing of the microsporangial wall along the dehiscence line. These results suggest that the structure, morphology, architecture and arrangement of male cones of M. glyptostroboides are mainly associated with the production, protection and dispersal of pollen for optimization of wind pollination. © 2012 Landes Bioscience.",Anatomical structure; Development; Male cone; Metasequoia glyptostroboides; Microsporangium dehiscence; Microsporangium wall; Microstrobili; Morphological structure; Pollen cone; Pollen release,Article,,Scopus,2-s2.0-84871229248
"Martínez M.A.C., Gómez M.A.B., Singer R.B.",Morphology and morphometry of two banderitas species (Orchidaceae: Masdevallia) in Colombia [Morfología y morfometría de dos especies de banderitas (Orchidaceae: Masdevallia) en Colombia],2012,Acta Biologica Colombiana,17,3,,575,588,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871237482&partnerID=40&md5=55a4305c992298aeba191ab32bd34102,"Grupo Biología de Organismos Tropicales, Universidad Nacional de Colombia, Bogotá, Colombia; Departamento de Biología, Universidad Nacional de Colombia, Grupo Biología de Organismos Tropicales, Bogotá, Colombia; Universidade Federal de Rio Grande do Sul, Rio Grande do Sul, Brazil","Martínez, M.A.C., Grupo Biología de Organismos Tropicales, Universidad Nacional de Colombia, Bogotá, Colombia; Gómez, M.A.B., Departamento de Biología, Universidad Nacional de Colombia, Grupo Biología de Organismos Tropicales, Bogotá, Colombia; Singer, R.B., Universidade Federal de Rio Grande do Sul, Rio Grande do Sul, Brazil","Masdevallia coccinea and the Masdevallia ignea ""banderitas"" are ornamental orchids which are very prized by amateur farmers and collectors. In Colombia, the harvest pressure on these species has been enormous and few natural populations survive in the departments of Boyacá (Arcabuco of Berlin Páramo, Duitama) and Santander (between Málaga and Bucaramanga), in which these populations are reduced and of difficult access. For this reason these species are in the II appendix of CITES. However, little is known on their reproductive biology, floral biology and pollination and the literature about this is incomplete. Under this framework, the goal of the project was to study the morphology and morphometry of M. coccinea and M. ignea (Pleurothallidinae) under semicultivation conditions in the Villa Rosa farm located in the Municipality of Guasca, Cundinamarca (Colombia). The floral morphology was analyzed by digital photography, morphometry and Scanning Electron Microscope. The main results were differences in color and length of dorsal and lateral sepals between M. coccinea (X = 53.0 mm ? = 7.4 mm and X = 44.4 mm and ? = 8.3 mm) and M. ignea (X = 34 mm ? = 7.7 mm and X = 31.5 mm and ? = 6.1 mm). These parts were longest in M. coccinea in contrast to M. ignea. However the lip was longest in M. ignea (X = 7.1 mm y ? = 0.6 mm). On the other hand both species had lip articulated to the column but without rewards as nectar and osmophores.",Floral morphometry; Lip; Masdevallia coccinea; Masdevallia ignea; Morphology,Article,,Scopus,2-s2.0-84871237482
"Goldraij A., Roldán J.A., Rojas H.J.",Early F-actin disorganization may be signaling vacuole disruption in incompatible pollen tubes of Nicotiana alata,2012,Plant Signaling and Behavior,7,12,,,,,2,10.1093/aob/mcs153,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871248961&doi=10.1093%2faob%2fmcs153&partnerID=40&md5=34cff18eac84ef1ca2bfedd59656015e,"Centro de Investigaciones en Química Biológica de Córdoba (CIQUIBIC-CONICET), Departamento de Química Biológica, Facultad de Ciencias Químicas, Universidad Nacional de Córdoba, Córdoba, Argentina","Goldraij, A., Centro de Investigaciones en Química Biológica de Córdoba (CIQUIBIC-CONICET), Departamento de Química Biológica, Facultad de Ciencias Químicas, Universidad Nacional de Córdoba, Córdoba, Argentina; Roldán, J.A., Centro de Investigaciones en Química Biológica de Córdoba (CIQUIBIC-CONICET), Departamento de Química Biológica, Facultad de Ciencias Químicas, Universidad Nacional de Córdoba, Córdoba, Argentina; Rojas, H.J., Centro de Investigaciones en Química Biológica de Córdoba (CIQUIBIC-CONICET), Departamento de Química Biológica, Facultad de Ciencias Químicas, Universidad Nacional de Córdoba, Córdoba, Argentina","Self-incompatibility (SI) systems appeared early in plant evolution as an effective mechanism to promote outcrossing and avoid inbreeding depression. These systems prevent self-fertilization by the recognition and rejection of self-pollen and pollen from closely related individuals. The most widespread SI system is based on the action of a pistil ribonuclease, the S-RNase, which recognizes and rejects incompatible pollen. S-RNases are endocyted by pollen tubes and stored into vacuoles. By a mechanism that is still unknown, these vacuoles are selectively disrupted in incompatible pollen, releasing S-RNases into the cytoplasm and allowing degradation of pollen RNA. Recently, we have studied the timing of in vivo alterations of pollen F-actin cytoskeleton after incompatible pollinations. Besides being essential for pollen growth, F-actin cytoskeleton is a very dynamic cellular component. Changes in F-actin organization are known to be capable of transducing signaling events in many cellular processes. Early after pollination, F-actin showed a progressive disorganization in incompatible pollen tubes. However by the time the F-actin was almost completely disrupted, the large majority of vacuolar compartments were still intact. These results indicate that in incompatible pollen tubes F-actin disorganization precedes vacuolar disruption. They also suggest that F-actin may act as an early transducer of signals triggering the rejection of incompatible pollen. © 2012 Landes Bioscience.",F-actin; Nicotiana alata; Pollen; S-RNase; Self-incompatibility; Signaling; Vacuole,Article,,Scopus,2-s2.0-84871248961
