Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Pontaroli A.C., Camadro E.L.",Increasing resistance to Fusarium crown and root rot in asparagus by gametophyte selection,2001,Euphytica,122,2,,343,350,,10,10.1023/A:1012983123410,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035205767&doi=10.1023%2fA%3a1012983123410&partnerID=40&md5=d605e1b2d73235791b24b4b9e38e7227,"Estación Experimental Agropecuaria (EEA), Instituto Nacional de Tecnología Agropecuaria (INTA), Universidad Nacional de Mar del Plata (UNMdP), C.C. 276, (7620) Balcarce, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Argentina","Pontaroli, A.C., Estación Experimental Agropecuaria (EEA), Instituto Nacional de Tecnología Agropecuaria (INTA), Universidad Nacional de Mar del Plata (UNMdP), C.C. 276, (7620) Balcarce, Argentina, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Argentina; Camadro, E.L., Estación Experimental Agropecuaria (EEA), Instituto Nacional de Tecnología Agropecuaria (INTA), Universidad Nacional de Mar del Plata (UNMdP), C.C. 276, (7620) Balcarce, Argentina, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Argentina","In garden asparagus, Fusarium crown and root rot is the main cause of crop decline. Since chemical treatments are inefficient, efforts should focus on the development of resistant cultivars to control the disease. Toxic culture filtrate (TCF) of F. oxysporum has affected asparagus pollen germination and tube growth. Consequently, gametophyte selection was evaluated to ascertain if the application of selective agents at this level could increase selection efficiency. Two susceptible pistillate plants and one tolerant and one susceptible staminate plants were used in controlled crosses. Before pollination, a drop of a germination vehicle with TCF or without it was applied to the stigmas. Some pollinated pistils were fixed and analyzed by fluorescence microscopy; the rest were left on the plant for seed production. Fifty to 200 seeds were obtained per treatment combination (staminate plant × pistillate plant × pollination vehicle). The derived plantlets were inoculated in vitro and evaluated for disease symptoms. The application of TCF to stigmas reduced pollen germination and tube growth compared with untreated controls, regardless of the genotypic combination. Pollen germination and tube growth was poorer for the tolerant staminate genotype than for the susceptible one. When the TCF was applied, the number of seeds per pollination in comparison with the controls diminished only when the susceptible genotype was the pollinator. The percentage of affected root area of the progenies obtained after applying the TCF was lower than in the controls only when the tolerant genotype was the pollinator. Increasing Fusarium resistance in asparagus by means of gametophyte selection seems feasible.",Asparagus; Crown and root rot; Fusarium oxysporum f. sp. asparagi; Gametophyte selection; Toxic culture filtrate,Article,,Scopus,2-s2.0-0035205767
"Rugienius R., Stanys V.",In vitro screening of strawberry plants for cold resistance,2001,Euphytica,122,2,,269,277,,6,10.1023/A:1012905106979,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035208713&doi=10.1023%2fA%3a1012905106979&partnerID=40&md5=c76d7697b31946dc2d4c0fe147a302a1,"Lithuanian Institute of Horticulture, 4335 Babtai, Kaunas district, Lithuania","Rugienius, R., Lithuanian Institute of Horticulture, 4335 Babtai, Kaunas district, Lithuania; Stanys, V., Lithuanian Institute of Horticulture, 4335 Babtai, Kaunas district, Lithuania","Formation of embryo autonomy of strawberry, plant regeneration from embryo components, plant freezing conditions in vitro and the possibility to differentiate objectively genotypes by freezing them in vitro and in vivo were studied to create strawberry screening technology in vitro for cold resistance. It was established that autonomy of strawberry embryos manifests itself not earlier than on 14-16th day after pollination and full autonomy is reached on 20-22nd day. Plants regenerated from 26 days old embryos grew most intensively. At the highest rate strawberry plants regenerated from an isolated embryo axis on MS medium without phytohormones, and from rescued Cotyledons - on the medium with 1.0 BA and 0.5 NAA. The temperature interval, at which genotypes differentiated according to cold resistance in vitro, was -8 to 12 °C. Differentiation of strawberry genotypes according to this character conformed to their differentiation in vivo, provided hardening proceeded not less than 21 days. The correlation between cold resistance in vitro and in vivo reached 0.93. Domination of cold resistance manifested itself in strawberry seedlings from various crossing combinations.",Cold resistance; Fragaria x ananassa; In vitro screening; Strawberry,Article,,Scopus,2-s2.0-0035208713
Sharma H.C.,"Cytoplasmic male-sterility and source of pollen influence the expression of resistance to sorghum midge, Stenodiplosis sorghicola",2001,Euphytica,122,2,,391,395,,11,10.1023/A:1012995409298,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035205917&doi=10.1023%2fA%3a1012995409298&partnerID=40&md5=2672dcb5f3650e5315d659cff2b5e6d4,"International Crops Research Institute for the Semi-Arid Tropics (ICRISAT), Patancheru 502 324, Andhra Pradesh, India","Sharma, H.C., International Crops Research Institute for the Semi-Arid Tropics (ICRISAT), Patancheru 502 324, Andhra Pradesh, India","Sorghum midge, Stenodiplosis (Contarinia) sorghicola (Coquillett), is an important pest of grain sorghum, and host plant resistance is an important aspect of control of this pest. This research investigated how cytoplasmic male-sterility and source of pollen influence the expression of resistance to sorghum midge. Sorghum midge emergence was significantly lower in panicles of midge-resistant and midge-susceptible cytoplasmic male-sterile lines when pollinated with AF 28 - a midge-resistant restorer line, than those pollinated with Swarna - a midge susceptible restorer line, indicating the presence of xenia effects. Maintainer lines (B-lines) of midge-resistant parents had significantly lower numbers of eggs and larvae than the B-lines of midge-susceptible parents. Male-sterile lines of the both midge-resistant and midge-susceptible lines were equally susceptible, indicating that resistance to sorghum midge is influenced by factors in the cytoplasm of the B-line. These findings will have an important bearing on the production of hybrids with resistance to insects.",Plant resistance; Pollen effects; Resistance mechanisms; Sorghum bicolor; Sorghum midge; Stenodiplosis sorghicola,Article,,Scopus,2-s2.0-0035205917
Clary K.H.,The genus Hesperoyucca (Agavaceae) in the western United States and Mexico: New nomenclatural combinations,2001,"SIDA, Contributions to Botany",19,4,,839,847,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035966284&partnerID=40&md5=b82278af3a474ffe350b99622adf3eef,"4701 Canyonwood Drive, Austin, TX 78735-6602, United States","Clary, K.H., 4701 Canyonwood Drive, Austin, TX 78735-6602, United States","The genus Hesperoyucca (Agavaceae), consisting of three species, is recognized as distinct from Yucca based on distinct morphological, phenological and pollinator characteristics, biogeographic considerations and recent DNA analyses. Hesperoyucca whipplei is recognized and new combinations for two species are made: H. newberryi and H. peninsularis. A key that distinguishes Yucca from Hesperoyucca and the three species of Hesperoyucca is included.",,Article,,Scopus,2-s2.0-0035966284
"Guéritaine G., Darmency H.",Polymorphism for interspecific hybridisation within a population of wild radish (Raphanus raphanistrum) pollinated by oilseed rape (Brassica napus),2001,Sexual Plant Reproduction,14,3,,169,172,,13,10.1007/s004970100101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035206463&doi=10.1007%2fs004970100101&partnerID=40&md5=04b1f0cabd5be8990fe2ffc48a8516e9,"Unité de Malherbologie et Agronomie, Institut National de la Recherche Agronomique, BP 86510, 21065 Dijon, France","Guéritaine, G., Unité de Malherbologie et Agronomie, Institut National de la Recherche Agronomique, BP 86510, 21065 Dijon, France; Darmency, H., Unité de Malherbologie et Agronomie, Institut National de la Recherche Agronomique, BP 86510, 21065 Dijon, France","The within-population polymorphism of wild radish (Raphanus raphanistrum) for interspecific hybridisation with two cultivars of oilseed rape (Brassica napus) was investigated by hand crossing experiments and fluorescence microscopy. Wide variability among plants was observed in the ability of oilseed rape pollen to germinate on the wild radish stigma; the frequency of pistils showing pollen tubes ranged from 0 to 1, depending on the female plant. The ratio of fertilised ovules to the total number of ovules in ovaries where pollen tubes arrived ranged from 0.02 to 0.51. Overall, the results provide evidence for the presence of different phenotypes. In 40% of the plants, pistils had no or very few pollen tubes and few fertilised ovules. In 23%, the foreign pollen tubes grew through the style towards the ovary, but had low ovule fertilisation efficiency. The remaining 37% showed a large number of pollen tubes in the style and frequent ovule fertilisation, and two plants showed no difference between foreign and conspecific pollen. With regard to post-zygotic barriers, pollen germination and ovule fertilisation represent minor barriers to interspecific hybridisation between oilseed rape and wild radish. It is suggested that the effectiveness of these barriers could be improved through plant breeding; this could reduce the risk of gene flow from transgenic oilseed rape to populations of wild relatives.",Brassica napus; Gene flow; Interspecific incompatibility; Polymorphism; Raphanus raphanistrum,Article,,Scopus,2-s2.0-0035206463
"García M.D., Del C. Molina M.",Embryo rescue and induction of somatic embryogenesis as a method to overcome seed inviability in Zea mays ssp. mays x Zea mays ssp. parviglumis crosses,2001,Biologia Plantarum,44,4,,497,501,,7,10.1023/A:1013718015315,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035209961&doi=10.1023%2fA%3a1013718015315&partnerID=40&md5=33b58d5a8cd4a3122475eeeb60bd3a85,"Facultad de Ciencias Agrarias, Universidad Nacional de Lomas de Zamora, Ruta 4 Km 2, C.C. 95, 1832 Lomas de Zamora, Buenos Aires, Argentina; Facultad de Ciencias Agrarias y Forestales, Universidad Nacional de la Plata, Garibaldi 3400, C.C.4, 1836 Llavallol, Buenos Aires, Argentina","García, M.D., Facultad de Ciencias Agrarias, Universidad Nacional de Lomas de Zamora, Ruta 4 Km 2, C.C. 95, 1832 Lomas de Zamora, Buenos Aires, Argentina; Del C. Molina, M., Facultad de Ciencias Agrarias y Forestales, Universidad Nacional de la Plata, Garibaldi 3400, C.C.4, 1836 Llavallol, Buenos Aires, Argentina","Zea mays ssp. mays (2n=40) and Z. mays ssp. parviglumis (2n=20) were crossed to obtain hybrid plants by embryo rescue. Hybrid embryos were isolated and cultured on García et al. (1992) basic medium supplemented with 2,4-dichlorophenoxyacetic acid and/or kinetin in different concentrations. Caryopses harvested 23 d after pollination (DAP) were turgid, with 0.3 to 0.5 mm long embryos, while those harvested 30 DAP were shrunken, with 1 to 1.5 mm long embryos. Twenty days after plating, 100% of the younger embryos gave rise to white, compact embryogenic calli. Subsequently, coleoptiles, leaf-like structures, shoots and roots originated from them and 35 hybrid plants were regenerated from 60 embryos. Embryogenic or organogenic calli frequencies did not differ among hormonal treatments, but they decreased, on average, from 90.5 to 44.3%, comparing 50 and 120-d-old cultures. The older embryos regenerated plants only by germination, although they gave rise to organogenic callus with low frequencies. Regenerated plants showed a somatic chromosome number of 2n=30, pollen fertility of 40 to 80% and 15% viable naked caryopses.","2,4-dichlorophenoxyacetic acid; Incompatible crosses; Maize hybrids; Organogenesis; Plant regeneration; Tissue culture",Article,,Scopus,2-s2.0-0035209961
"Boavida L.C., Silva J.P., Feijó J.A.",Sexual reproduction in the cork oak (Quercus suber L). II. Crossing intra- and interspecific barriers,2001,Sexual Plant Reproduction,14,3,,143,152,,47,10.1007/s004970100100,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035206398&doi=10.1007%2fs004970100100&partnerID=40&md5=912720b629a6be3461b4f987d39a7302,"Instituto Gulbenkian de Ciência, Apartado 14, 2780-156 Oeiras, Portugal; Centro de Biotecnologia Vegetal, Faculdade de Ciências, Campo Grande, Ed.C2, 1749-016 Lisboa, Portugal","Boavida, L.C., Instituto Gulbenkian de Ciência, Apartado 14, 2780-156 Oeiras, Portugal, Centro de Biotecnologia Vegetal, Faculdade de Ciências, Campo Grande, Ed.C2, 1749-016 Lisboa, Portugal; Silva, J.P., Instituto Gulbenkian de Ciência, Apartado 14, 2780-156 Oeiras, Portugal; Feijó, J.A., Instituto Gulbenkian de Ciência, Apartado 14, 2780-156 Oeiras, Portugal","Intraspecific barriers promote outcrossing while interspecific mechanisms may contribute to the isolation of species; both control the exchange of genes between plants. In this paper we establish that post-pollination mechanisms promote outcross and act at different temporal and spatial levels to control seed set and quality in Quercus species. Controlled pollinations were performed to investigate intraspecific crossing barriers in Q. suber and pollen-pistil interactions following interspecific pollinations with some simpatric Quercus species. Cytological data of intraspecific crosses in Q. suber and Q. ilex have shown different kinetics on pollen tube growth after self and outcross pollination, but pollen tubes were able to reach the base of the styles in both species and seed set was successful. Although some pre-zygotic interaction is occurring at the style, the most important interaction takes place at ovary. The cross between Q. ilex and Q. suber is possible only in one direction, revealing a case of unilateral incongruity. We show that the lack of seed set observed in the cross Q. suber × Q. ilex is due to the inability of pollen tubes to penetrate the transmitting tissue after germination. With Q. suber mainly as female parent, pollinations with other simpatric Quercus species have shown different levels of constraint on pollen tube progression at stigma and style levels. Eventual hybridisation between Quercus species will depend on the compatibility of pollen-pistil interactions, on the competitive ability of pollen genotypes, and, most important, on the overlapping of geographical, phenological and ecological factors. Differences in seed set and seed allocation was evident in all crosses, and was particularly outstanding in interspecific and in self intraspecific crosses, determining the ultimate level of seed production and quality in Quercus species.",Early-acting inbreeding depression; Hybridisation; Interspecific crosses; Intraspecific; Quercus; Unilateral incongruity,Article,,Scopus,2-s2.0-0035206398
"Lokesha R., Vasudeva R.","Differential influence of pollen and stylar genotypes on lifespan of pistillate flowers in a monoecious herb, Momordica tuberosa (Cogn.) Roxb. (Cucurbitaceae)",2001,Current Science,81,12,,1628,1633,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0442311991&partnerID=40&md5=fc8b7202921a01250ae6c1dceb7e7626,"Dept. of Genetics and Plant Breeding, College of Agriculture, P.B. No. 24, Raichur 584 101, India; Department of Forest Biology, College of Forestry, UAS Campus, Banavasi Road, Sirsi 581 401, India","Lokesha, R., Dept. of Genetics and Plant Breeding, College of Agriculture, P.B. No. 24, Raichur 584 101, India; Vasudeva, R., Department of Forest Biology, College of Forestry, UAS Campus, Banavasi Road, Sirsi 581 401, India","The floral lifespan of pistillate flowers of Momordica tuberosa is terminated by abscission of petals, intentionally, when they are still fully turgid within sixty-five minutes following their pollination; the staminate flowers do not abscise their petals, but progressively wilt. Petal abscission was found to depend on the type of pollination: hand pollination using outcross pollen induced an early petal abscission than the self-pollen (geitanogamy). At least six pollen grains were critical to initiate successful petal abscission in freshly-bloomed flowers, below which the petals did not abscise even at the end of the day. There exists a quantitative relationship between the number of pollen grains deposited onto the stigma and the time taken for petal abscission; greater the pollen grain deposition, quicker the rate of abscission. The time required to induce petal abscission seems to be controlled by pollen genotype, genotype of pollen recipient and the interaction between the two. By invoking the theory of sexual selection it is explained that strategies of pollen genotype and those of stylar genotype may not always coincide, while shaping the rate of petal abscission. The adaptive significance of this phenomenon has been discussed.",,Article,,Scopus,2-s2.0-0442311991
"Serre M., Feingold S., Salaberry T., Leon A., Berry S.",The genetic map position of the locus encoding the 2S albumin seed storage proteins in cultivated sunflower (Helianthus annuus L.),2001,Euphytica,121,3,,273,278,,5,10.1023/A:1012025716228,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035207663&doi=10.1023%2fA%3a1012025716228&partnerID=40&md5=6e451411711719cedaf7046892d4c113,"Facultad de Ciencias Agrarias, Universidad Nacional de Mar del Plata, CC 276, 7620 Balcarce, Buenos Aires, Argentina; Advanta Semillas S.A.I.C., CC 30, 7620 Balcarce, Buenos Aires, Argentina; SES-Europe N.V./S.A., Industriepark, Soldatenplein Z2 nr. 15, B-3300 Tienen, Belgium","Serre, M., Facultad de Ciencias Agrarias, Universidad Nacional de Mar del Plata, CC 276, 7620 Balcarce, Buenos Aires, Argentina; Feingold, S., Advanta Semillas S.A.I.C., CC 30, 7620 Balcarce, Buenos Aires, Argentina; Salaberry, T., Facultad de Ciencias Agrarias, Universidad Nacional de Mar del Plata, CC 276, 7620 Balcarce, Buenos Aires, Argentina; Leon, A., Advanta Semillas S.A.I.C., CC 30, 7620 Balcarce, Buenos Aires, Argentina; Berry, S., SES-Europe N.V./S.A., Industriepark, Soldatenplein Z2 nr. 15, B-3300 Tienen, Belgium","Sunflower contains two classes of seed proteins: the 11S globulins (helianthinins) and the 2S albumins. Polymorphisms have been detected within both classes and therefore they have been proposed as genetic markers. The objectives of the present study were to identify sunflower seed protein polymorphisms and locate them on an RFLP linkage map. Seed proteins of 68 inbred lines and four Argentinian open-pollinated populations were studied by SDS-PAGE. The helianthinins were separated into ten bands arranged in four groups of Mr of 22.5, 25.5, 32 and 38 kDa and all lines showed identical banding patterns. The albumins were separated into eight to ten bands in the Mr range 10 and 18 kDa. The lines showed either a band of Mr of 14.5 or of 15.5 kDa. HAR1, HAR2, ZENB8 and ZENB12 had the 15.5 kDa, whereas the remaining lines had the 14.5 kDa. The 14.5 and 15.5 kDa polypeptides were also segregating in the Impira INTA population. One hundred and fifty F2:3 families derived from ZENB8 × HA89 were used as the mapping population. The electrophoretic patterns of the families were either those of the two parental lines or presented both the 14.5 and 15.5 kDa polypeptides. No family showed absence of both bands, suggesting that they are allelic variants. The 2S albumin locus was located in the interval between the markers ZVG0051 and ZVG0052, at approximately 9 cM from ZVG0051 and at 6 cM from ZVG0052, on linkage group 11 of the public sunflower RFLP map.",2S albumin; Genetic mapping; Seed storage protein polymorphism; Sunflower,Article,,Scopus,2-s2.0-0035207663
"Salvo-Garrido H., Laurie D.A., Jaffé B., Snape J.W.",An RFLP map of diploid Hordeum bulbosum L. and comparison with maps of barley (H. vulgare L.) and wheat (Triticum aestivum L.),2001,Theoretical and Applied Genetics,103,06-Jul,,869,880,,20,10.1007/s001220100707,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035213916&doi=10.1007%2fs001220100707&partnerID=40&md5=109fdf41baf4f7eac5c34d52cdb3064d,"John Innes Centre, Norwich Research Park, Norwich NR4 7UH, United Kingdom","Salvo-Garrido, H., John Innes Centre, Norwich Research Park, Norwich NR4 7UH, United Kingdom; Laurie, D.A., John Innes Centre, Norwich Research Park, Norwich NR4 7UH, United Kingdom; Jaffé, B., John Innes Centre, Norwich Research Park, Norwich NR4 7UH, United Kingdom; Snape, J.W., John Innes Centre, Norwich Research Park, Norwich NR4 7UH, United Kingdom","This paper describes the first extensive genetic map of Hordeum bulbosum, the closest wild relative of cultivated barley. H. bulbosum is valuable for haploid production in barley breeding, and because of desirable agronomic characteristics, it also has potential for trait introgression into barley. A H. bulbosum map will assist introgression and provide a basis for the identification of QTLs for crossability with barley and other potentially useful genes. The present study used a population of 111 individuals from a PB1×PB11 cross to develop a genetic linkage map of diploid H. bulbosum (2n=2x=14) based on barley, wheat and other ""anchor"" cereal RFLP markers previously mapped in other species. Because of the cross-pollinating and highly polymorphic nature of H. bulbosum, up to four alleles showed segregation at any one locus, and five different segregation types were found. This enabled maps to be developed for the PB1 and PB11 parents, as well as a combined map. In total, 136 RFLP loci were mapped with a marker coverage of 621 cM. The markers were generally colinear with barley but H. bulbosum had less recombination in the centromeric regions and similar or more in the distal regions. Cytological studies on pollen mother cells at metaphase-I showed marked distal localization of chiasmata and a frequency consistent with the genetic map length. This study showed that H. bulbosum was highly polymorphic, making it suitable for trait analysis and supplementing maps of barley.",Comparative mapping; Genetic maps; Hordeum bulbosum; Hordeum vulgare; RFLP,Article,,Scopus,2-s2.0-0035213916
