,EID,confidence,countryCode,focus,lat,lon,name,population
0,2-s2.0-84974133696,,GY,major,5.0,-59.0,Co-operative Republic of Guyana,748486
1,2-s2.0-84974133696,,GY,major,5.0,-59.0,Co-operative Republic of Guyana,748486
2,2-s2.0-84974133696,,GY,major,5.0,-59.0,Co-operative Republic of Guyana,748486
0,2-s2.0-18044365255,,WS,major,-13.8,-172.13333,Independent State of Samoa,192001
0,2-s2.0-84916217451,,NZ,major,-42.0,174.0,New Zealand,4252277
0,2-s2.0-0347568171,,IL,major,31.5,34.75,State of Israel,7353985
1,2-s2.0-0347568171,,,minor,35.0,25.0,East Mediterranean Ridge,0
0,2-s2.0-84864345822,,NZ,major,-42.0,174.0,New Zealand,4252277
0,2-s2.0-84873352818,,TW,major,24.0,121.0,Taiwan,22894384
4,2-s2.0-0001042813,,US,major,39.76,-98.5,United States,310232863.0
0,2-s2.0-0001042813,,US,minor,44.00013,-120.50139,Oregon,3642919.0
1,2-s2.0-0001042813,,US,minor,37.25022,-119.75126,California,37691912.0
2,2-s2.0-0001042813,,US,minor,37.33939,-121.89496,San Jose,1026908.0
3,2-s2.0-0001042813,,US,minor,37.13054,-113.50829,Washington,24299.0
1,2-s2.0-84872714336,,US,major,39.76,-98.5,United States,310232863.0
0,2-s2.0-84872714336,,US,minor,45.50032,-69.24977,Maine,1325518.0
0,2-s2.0-84978054775,,,,,,,
0,2-s2.0-70349438913,,CN,major,35.0,105.0,People’s Republic of China,1330044000
1,2-s2.0-70349438913,,CN,minor,22.08829,101.0248,Xishuangbanna Daizu Zizhizhou,0
1,2-s2.0-79960290716,,US,major,39.76,-98.5,United States,310232863.0
0,2-s2.0-79960290716,,US,minor,47.00025,-109.75102,Montana,930698.0
0,2-s2.0-44949171580,,,,,,,
1,2-s2.0-41549140233,,US,major,39.76,-98.5,United States,310232863.0
0,2-s2.0-41549140233,,US,minor,47.00025,-109.75102,Montana,930698.0
0,2-s2.0-34848867268,,ID,minor,-5.0,120.0,Republic of Indonesia,242968342
1,2-s2.0-34848867268,,GB,major,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,62348447
2,2-s2.0-34848867268,,US,minor,47.00025,-109.75102,Montana,930698
3,2-s2.0-34848867268,,GB,minor,53.79648,-1.54785,Leeds,455123
0,2-s2.0-28444458553,,ID,major,-5.0,120.0,Republic of Indonesia,242968342
1,2-s2.0-28444458553,,ID,major,-5.0,120.0,Republic of Indonesia,242968342
2,2-s2.0-28444458553,,US,minor,30.02058,-84.98058,Sumatra,148
3,2-s2.0-28444458553,,ID,minor,-6.11667,105.4,Krakatoa,0
4,2-s2.0-28444458553,,ID,minor,-6.11667,105.4,Krakatoa,0
5,2-s2.0-28444458553,,ID,minor,-6.11667,105.41667,Pulau-Pulau Krakatau,0
6,2-s2.0-28444458553,,SE,minor,60.7,15.83333,Jävan,0
